filename,prompt,negative_prompt
"solos/venom.jpg","Venomcraft, wide landscape scene depicting serpents and dripping toxin, single-icon composition with the domain's elemental theme filling the frame, dominant palette venom green, mood: sickly luminescence, evokes: Melee attacks apply 1 poison stack, fantasy card illustration in the style of Magic the Gathering art, full-bleed landscape composition, edge-to-edge artwork, cinematic horizontal framing, painterly ink and wash, muted earth-tones with one dominant accent color, atmospheric lighting, arcane and martial mood, no painted frame, no inner border, no decorative trim, no text, no letters, no numbers, no UI, no card frame","painted frame, decorative border, double border, ornate trim, ornamental frame, filigree border, tarot card border, card frame, vignette frame, inner border, text, letters, numbers, words, signature, watermark, caption, label, logo, title bar, portrait orientation, vertical composition, centered medallion, symmetrical heraldic layout, photo, photograph, photorealistic, 3d render, cgi, anime, manga, chibi, modern clothing, cars, technology, ui, hud, low quality, blurry, oversaturated"
"solos/fortress.jpg","Fortress Discipline, wide landscape scene depicting tower walls and shield bosses, single-icon composition with the domain's elemental theme filling the frame, dominant palette iron blue, mood: monolithic stillness, evokes: Adjacent friendly units get +30% defense, fantasy card illustration in the style of Magic the Gathering art, full-bleed landscape composition, edge-to-edge artwork, cinematic horizontal framing, painterly ink and wash, muted earth-tones with one dominant accent color, atmospheric lighting, arcane and martial mood, no painted frame, no inner border, no decorative trim, no text, no letters, no numbers, no UI, no card frame","painted frame, decorative border, double border, ornate trim, ornamental frame, filigree border, tarot card border, card frame, vignette frame, inner border, text, letters, numbers, words, signature, watermark, caption, label, logo, title bar, portrait orientation, vertical composition, centered medallion, symmetrical heraldic layout, photo, photograph, photorealistic, 3d render, cgi, anime, manga, chibi, modern clothing, cars, technology, ui, hud, low quality, blurry, oversaturated"
"solos/charge.jpg","Charge, wide landscape scene depicting tusked beasts and trampling cavalry, single-icon composition with the domain's elemental theme filling the frame, dominant palette amber dust, mood: forward motion, dust trails, evokes: Charge attacks strike first; if enemy dies, attacker takes 0 damage, fantasy card illustration in the style of Magic the Gathering art, full-bleed landscape composition, edge-to-edge artwork, cinematic horizontal framing, painterly ink and wash, muted earth-tones with one dominant accent color, atmospheric lighting, arcane and martial mood, no painted frame, no inner border, no decorative trim, no text, no letters, no numbers, no UI, no card frame","painted frame, decorative border, double border, ornate trim, ornamental frame, filigree border, tarot card border, card frame, vignette frame, inner border, text, letters, numbers, words, signature, watermark, caption, label, logo, title bar, portrait orientation, vertical composition, centered medallion, symmetrical heraldic layout, photo, photograph, photorealistic, 3d render, cgi, anime, manga, chibi, modern clothing, cars, technology, ui, hud, low quality, blurry, oversaturated"
"solos/hitrun.jpg","Skirmish Pursuit, wide landscape scene depicting darting arrows and feathered wind-marks, single-icon composition with the domain's elemental theme filling the frame, dominant palette silver-grey, mood: flickering speed, evokes: When unit deals more damage than it receives, deals +2 bonus damage (presses the advantage), fantasy card illustration in the style of Magic the Gathering art, full-bleed landscape composition, edge-to-edge artwork, cinematic horizontal framing, painterly ink and wash, muted earth-tones with one dominant accent color, atmospheric lighting, arcane and martial mood, no painted frame, no inner border, no decorative trim, no text, no letters, no numbers, no UI, no card frame","painted frame, decorative border, double border, ornate trim, ornamental frame, filigree border, tarot card border, card frame, vignette frame, inner border, text, letters, numbers, words, signature, watermark, caption, label, logo, title bar, portrait orientation, vertical composition, centered medallion, symmetrical heraldic layout, photo, photograph, photorealistic, 3d render, cgi, anime, manga, chibi, modern clothing, cars, technology, ui, hud, low quality, blurry, oversaturated"
"solos/tidal_warfare.jpg","Tidal Warfare, wide landscape scene depicting cresting waves and prow-ships, single-icon composition with the domain's elemental theme filling the frame, dominant palette deep cyan, mood: crashing surf, salt spray, evokes: Naval units attack from water to land; enemies on coast get -25% defense, fantasy card illustration in the style of Magic the Gathering art, full-bleed landscape composition, edge-to-edge artwork, cinematic horizontal framing, painterly ink and wash, muted earth-tones with one dominant accent color, atmospheric lighting, arcane and martial mood, no painted frame, no inner border, no decorative trim, no text, no letters, no numbers, no UI, no card frame","painted frame, decorative border, double border, ornate trim, ornamental frame, filigree border, tarot card border, card frame, vignette frame, inner border, text, letters, numbers, words, signature, watermark, caption, label, logo, title bar, portrait orientation, vertical composition, centered medallion, symmetrical heraldic layout, photo, photograph, photorealistic, 3d render, cgi, anime, manga, chibi, modern clothing, cars, technology, ui, hud, low quality, blurry, oversaturated"
"solos/nature_healing.jpg","Nature Healing, wide landscape scene depicting leafing branches and resting deer, single-icon composition with the domain's elemental theme filling the frame, dominant palette leaf green, mood: soft luminance, restorative, evokes: Unit heals 2 HP/turn; adjacent allies heal 1 HP/turn, fantasy card illustration in the style of Magic the Gathering art, full-bleed landscape composition, edge-to-edge artwork, cinematic horizontal framing, painterly ink and wash, muted earth-tones with one dominant accent color, atmospheric lighting, arcane and martial mood, no painted frame, no inner border, no decorative trim, no text, no letters, no numbers, no UI, no card frame","painted frame, decorative border, double border, ornate trim, ornamental frame, filigree border, tarot card border, card frame, vignette frame, inner border, text, letters, numbers, words, signature, watermark, caption, label, logo, title bar, portrait orientation, vertical composition, centered medallion, symmetrical heraldic layout, photo, photograph, photorealistic, 3d render, cgi, anime, manga, chibi, modern clothing, cars, technology, ui, hud, low quality, blurry, oversaturated"
"solos/camel_adaptation.jpg","Camel Adaptation, wide landscape scene depicting sun-bleached camels and dune ridges, single-icon composition with the domain's elemental theme filling the frame, dominant palette ochre gold, mood: dry shimmer, baked sand, evokes: Unit ignores all terrain movement penalties, fantasy card illustration in the style of Magic the Gathering art, full-bleed landscape composition, edge-to-edge artwork, cinematic horizontal framing, painterly ink and wash, muted earth-tones with one dominant accent color, atmospheric lighting, arcane and martial mood, no painted frame, no inner border, no decorative trim, no text, no letters, no numbers, no UI, no card frame","painted frame, decorative border, double border, ornate trim, ornamental frame, filigree border, tarot card border, card frame, vignette frame, inner border, text, letters, numbers, words, signature, watermark, caption, label, logo, title bar, portrait orientation, vertical composition, centered medallion, symmetrical heraldic layout, photo, photograph, photorealistic, 3d render, cgi, anime, manga, chibi, modern clothing, cars, technology, ui, hud, low quality, blurry, oversaturated"
"solos/river_stealth.jpg","River Stealth, wide landscape scene depicting reeds, mist on still water, half-submerged eyes, single-icon composition with the domain's elemental theme filling the frame, dominant palette violet shadow, mood: hidden, glassy water, evokes: Unit is stealthed; first attack from stealth deals +50% damage, fantasy card illustration in the style of Magic the Gathering art, full-bleed landscape composition, edge-to-edge artwork, cinematic horizontal framing, painterly ink and wash, muted earth-tones with one dominant accent color, atmospheric lighting, arcane and martial mood, no painted frame, no inner border, no decorative trim, no text, no letters, no numbers, no UI, no card frame","painted frame, decorative border, double border, ornate trim, ornamental frame, filigree border, tarot card border, card frame, vignette frame, inner border, text, letters, numbers, words, signature, watermark, caption, label, logo, title bar, portrait orientation, vertical composition, centered medallion, symmetrical heraldic layout, photo, photograph, photorealistic, 3d render, cgi, anime, manga, chibi, modern clothing, cars, technology, ui, hud, low quality, blurry, oversaturated"
"solos/slaving.jpg","Slaving, wide landscape scene depicting iron chains and tally markings, single-icon composition with the domain's elemental theme filling the frame, dominant palette rust red, mood: cruel order, branded marks, evokes: Captured enemy units are converted to slave units under your command, fantasy card illustration in the style of Magic the Gathering art, full-bleed landscape composition, edge-to-edge artwork, cinematic horizontal framing, painterly ink and wash, muted earth-tones with one dominant accent color, atmospheric lighting, arcane and martial mood, no painted frame, no inner border, no decorative trim, no text, no letters, no numbers, no UI, no card frame","painted frame, decorative border, double border, ornate trim, ornamental frame, filigree border, tarot card border, card frame, vignette frame, inner border, text, letters, numbers, words, signature, watermark, caption, label, logo, title bar, portrait orientation, vertical composition, centered medallion, symmetrical heraldic layout, photo, photograph, photorealistic, 3d render, cgi, anime, manga, chibi, modern clothing, cars, technology, ui, hud, low quality, blurry, oversaturated"
"solos/heavy_hitter.jpg","Heavy Hitter, wide landscape scene depicting mauls, anvils, broken stone, single-icon composition with the domain's elemental theme filling the frame, dominant palette cold slate, mood: crushing weight, evokes: Heavy strikes ignore 50% of enemy armor and deal bonus damage to fortified targets, fantasy card illustration in the style of Magic the Gathering art, full-bleed landscape composition, edge-to-edge artwork, cinematic horizontal framing, painterly ink and wash, muted earth-tones with one dominant accent color, atmospheric lighting, arcane and martial mood, no painted frame, no inner border, no decorative trim, no text, no letters, no numbers, no UI, no card frame","painted frame, decorative border, double border, ornate trim, ornamental frame, filigree border, tarot card border, card frame, vignette frame, inner border, text, letters, numbers, words, signature, watermark, caption, label, logo, title bar, portrait orientation, vertical composition, centered medallion, symmetrical heraldic layout, photo, photograph, photorealistic, 3d render, cgi, anime, manga, chibi, modern clothing, cars, technology, ui, hud, low quality, blurry, oversaturated"
